Date, Open, High, Low, Close
02/25/19, 28975.52, 29009.98, 28763.46, 28959.30
02/22/19, 28478.96, 28816.30, 28430.20, 28816.30
02/21/19, 28450.00, 28759.35, 28364.85, 28629.92
02/20/19, 28404.68, 28599.77, 28357.30, 28514.05
02/19/19, 28440.49, 28488.97, 28208.87, 28228.13
02/18/19, 28186.75, 28412.08, 28186.75, 28347.01
02/15/19, 28241.44, 28256.69, 27845.87, 27900.84
02/14/19, 28396.40, 28476.65, 28275.18, 28432.05
02/13/19, 28184.87, 28533.36, 28160.46, 28497.59
02/12/19, 28093.31, 28219.59, 27983.48, 28171.33
02/11/19, 27927.45, 28143.84, 27847.85, 28143.84
02/08/19, 27708.13, 28008.82, 27534.20, 27946.32
02/04/19, 27985.42, 28005.15, 27847.43, 27990.21
02/01/19, 28193.28, 28193.28, 27802.50, 27930.74
01/31/19, 27842.05, 28010.90, 27773.98, 27942.47
01/30/19, 27571.41, 27642.85, 27369.75, 27642.85
01/29/19, 27397.54, 27575.37, 27328.17, 27531.68
01/28/19, 27695.81, 27790.22, 27462.37, 27576.96
01/25/19, 27282.88, 27569.19, 27217.75, 27569.19
01/24/19, 27075.37, 27120.98, 26889.79, 27120.98
01/23/19, 26879.91, 27131.22, 26879.91, 27008.20
01/22/19, 27189.40, 27223.70, 26854.66, 27005.45
01/21/19, 27134.27, 27323.61, 27084.30, 27196.54
01/18/19, 26993.44, 27116.65, 26915.08, 27090.81
01/17/19, 26953.21, 27012.19, 26703.31, 26755.63
01/16/19, 26702.93, 26903.78, 26567.52, 26902.10
01/15/19, 26518.62, 26838.55, 26427.45, 26830.29
01/14/19, 26559.68, 26575.33, 26195.78, 26298.33
01/11/19, 26692.02, 26692.02, 26494.86, 26667.27
01/10/19, 26391.78, 26588.21, 26212.34, 26521.43
01/09/19, 26237.29, 26597.07, 26192.65, 26462.32
01/08/19, 25852.50, 25960.89, 25688.50, 25875.45
01/07/19, 26015.84, 26043.64, 25753.46, 25835.70
01/04/19, 24946.12, 25626.03, 24924.73, 25626.03
01/03/19, 25077.68, 25262.21, 24896.87, 25064.36
01/02/19, 25824.44, 25824.44, 25055.27, 25130.35
12/31/18, 25732.52, 25916.23, 25682.66, 25845.70
12/28/18, 25502.34, 25600.25, 25416.36, 25504.20
12/27/18, 25818.81, 25920.63, 25446.80, 25478.88
12/24/18, 25515.40, 25651.38, 25421.43, 25651.38
12/21/18, 25512.30, 25805.61, 25313.75, 25753.42
12/20/18, 25723.53, 25859.82, 25416.88, 25623.53
12/19/18, 25860.68, 25925.99, 25784.09, 25865.39
12/18/18, 25903.98, 26152.88, 25713.50, 25814.25
12/17/18, 26178.04, 26186.30, 26002.30, 26087.98
12/14/18, 26219.00, 26219.00, 26061.47, 26094.79
12/13/18, 26417.89, 26581.93, 26314.77, 26524.35
12/12/18, 26054.01, 26238.73, 26013.36, 26186.71
12/11/18, 25623.40, 25861.73, 25623.40, 25771.67
12/10/18, 25794.95, 25845.34, 25570.89, 25752.38
12/07/18, 26249.81, 26280.66, 26055.78, 26063.76
12/06/18, 26349.42, 26381.12, 26016.09, 26156.38
12/05/18, 26745.69, 26914.87, 26745.69, 26819.68
12/04/18, 27119.19, 27260.44, 26984.71, 27260.44
12/03/18, 27185.66, 27259.43, 27006.83, 27182.04
11/30/18, 26506.09, 26683.25, 26396.62, 26506.75
11/29/18, 26904.21, 26923.33, 26399.81, 26451.03
11/28/18, 26406.68, 26705.30, 26332.66, 26682.56
