Date, Open, High, Low, Close
02/25/19, 3275.02, 3289.48, 3275.02, 3280.01
02/22/19, 3263.49, 3281.78, 3259.74, 3270.55
02/21/19, 3261.74, 3270.07, 3254.57, 3263.70
02/20/19, 3241.70, 3264.71, 3236.74, 3259.49
02/19/19, 3242.79, 3251.22, 3223.40, 3239.41
02/18/19, 3239.10, 3248.14, 3235.57, 3244.79
02/15/19, 3179.38, 3247.34, 3175.71, 3241.25
02/14/19, 3212.95, 3228.11, 3182.66, 3182.66
02/13/19, 3194.73, 3214.22, 3192.03, 3202.37
02/12/19, 3176.76, 3200.50, 3176.76, 3190.75
02/11/19, 3142.84, 3173.39, 3142.84, 3165.61
02/08/19, 3151.17, 3161.14, 3124.62, 3135.62
02/07/19, 3204.93, 3208.67, 3150.76, 3150.76
02/06/19, 3208.43, 3216.13, 3199.03, 3212.75
02/05/19, 3165.84, 3215.04, 3162.78, 3215.04
02/04/19, 3170.30, 3174.23, 3143.87, 3165.20
02/01/19, 3162.46, 3171.95, 3143.50, 3171.12
01/31/19, 3163.02, 3177.10, 3129.58, 3159.43
01/30/19, 3155.80, 3163.34, 3148.84, 3161.74
01/29/19, 3136.15, 3166.24, 3130.75, 3153.42
01/28/19, 3157.00, 3157.00, 3131.26, 3137.27
01/25/19, 3133.81, 3168.03, 3133.81, 3163.24
01/24/19, 3113.89, 3136.42, 3107.67, 3126.31
01/23/19, 3104.08, 3132.79, 3094.48, 3112.13
01/22/19, 3120.32, 3122.76, 3097.27, 3112.80
01/21/19, 3131.85, 3131.85, 3120.03, 3125.07
01/18/19, 3079.15, 3137.42, 3079.15, 3134.92
01/17/19, 3069.41, 3073.00, 3053.08, 3069.35
01/16/19, 3073.06, 3083.56, 3062.27, 3077.22
01/15/19, 3066.02, 3088.49, 3044.53, 3068.05
01/14/19, 3060.62, 3063.34, 3037.13, 3055.18
01/11/19, 3079.59, 3087.66, 3056.36, 3070.04
01/10/19, 3065.66, 3075.83, 3043.55, 3075.73
01/09/19, 3062.37, 3089.17, 3060.96, 3070.24
01/08/19, 3032.07, 3079.11, 3032.07, 3054.94
01/07/19, 3050.00, 3054.72, 3016.32, 3033.64
01/04/19, 2964.15, 3050.66, 2964.15, 3041.85
01/03/19, 2978.28, 2984.52, 2950.82, 2954.66
01/02/19, 2982.80, 3002.52, 2936.76, 2993.18
12/31/18, 2991.40, 3003.01, 2990.61, 3001.42
12/28/18, 2952.05, 2996.17, 2951.51, 2986.53
12/27/18, 2987.67, 2997.24, 2908.70, 2937.36
12/24/18, 2993.45, 2993.45, 2973.22, 2973.78
12/21/18, 2996.92, 3003.06, 2957.56, 3000.61
12/20/18, 3031.32, 3031.32, 2993.40, 3000.06
12/19/18, 3042.19, 3063.70, 3042.19, 3051.38
12/18/18, 3054.01, 3067.54, 3040.13, 3040.13
12/17/18, 3088.97, 3092.82, 3053.56, 3063.65
12/14/18, 3102.09, 3103.17, 3063.23, 3092.60
12/13/18, 3110.57, 3128.10, 3100.11, 3112.17
12/12/18, 3059.25, 3119.20, 3059.25, 3107.97
12/11/18, 3028.93, 3083.50, 3028.93, 3055.32
12/10/18, 3054.67, 3054.67, 3007.53, 3016.99
12/07/18, 3057.99, 3097.92, 3057.99, 3058.53
12/06/18, 3139.85, 3139.85, 3033.78, 3045.94
12/05/18, 3181.68, 3181.68, 3146.11, 3150.27
12/04/18, 3208.44, 3210.51, 3189.00, 3189.25
12/03/18, 3187.33, 3244.98, 3187.33, 3214.99
11/30/18, 3178.06, 3182.16, 3159.08, 3173.13
11/29/18, 3176.31, 3197.90, 3169.85, 3174.16
11/28/18, 3170.96, 3184.68, 3165.83, 3168.29
11/27/18, 3173.14, 3186.84, 3151.89, 3166.42
11/26/18, 3151.22, 3184.66, 3151.22, 3172.71
11/23/18, 3127.94, 3145.04, 3114.74, 3137.21
11/22/18, 3148.80, 3148.80, 3121.59, 3126.67
11/21/18, 3124.60, 3156.77, 3124.60, 3153.91
11/20/18, 3153.19, 3153.19, 3100.77, 3116.07
11/19/18, 3184.51, 3206.58, 3157.95, 3160.33
11/16/18, 3197.61, 3214.57, 3158.87, 3180.74
11/15/18, 3210.04, 3227.74, 3164.85, 3190.31
11/14/18, 3213.35, 3239.99, 3179.08, 3205.36
11/13/18, 3200.08, 3228.88, 3196.70, 3224.82
11/12/18, 3237.95, 3248.33, 3192.58, 3194.08
11/09/18, 3233.11, 3234.79, 3204.94, 3229.49
11/08/18, 3248.70, 3263.72, 3231.80, 3237.60
11/07/18, 3212.67, 3251.95, 3212.67, 3246.16
11/06/18, 3219.08, 3222.59, 3197.14, 3207.42
